index,participantcode,participantlabel,payoff_final,sessionlabel,location,task,treatment,id_in_group,round,role,correct,cheat,whistle,group_id,role_group,output_employees,output_firm,surplus_firm,winning_firm,payoff,cheaters,whistlers,payoff_total,payoff_game,belief_cheat,belief_cheat_clean,total_cheaters,belief_whistle,belief_whistle_clean,total_whistlers,payoff_beliefs,morality_manager,morality_employee,morality_public,firm_loyalty,payoff_judgements,risk,payoff_risk,svo,payoff_svo,age,study,gender
277,2djqabpr,PC08,9.6000004,Session 09,Birmingham,1,Baseline,6,1,public,6,0,0,4,public,0,0,0,0,120,0,1,955,600,0,0,0,0,0,26,20,0.25,0.5,0.25,0.25,30,2,220,7.8200002,85,19,Other,Male
278,2djqabpr,PC08,9.6000004,Session 09,Birmingham,1,Baseline,3,2,employee,6,0,0,3,firm,12,24,240,0,180,0,1,955,600,0,0,0,0,0,26,20,0.25,0.5,0.25,0.25,30,2,220,7.8200002,85,19,Other,Male
279,2djqabpr,PC08,9.6000004,Session 09,Birmingham,1,Baseline,6,3,public,6,0,0,4,public,0,0,0,0,120,0,4,955,600,0,0,0,0,0,26,20,0.25,0.5,0.25,0.25,30,2,220,7.8200002,85,19,Other,Male
280,2djqabpr,PC08,9.6000004,Session 09,Birmingham,1,Baseline,3,4,employee,6,0,0,1,firm,12,24,240,0,180,0,4,955,600,0,0,0,0,0,26,20,0.25,0.5,0.25,0.25,30,2,220,7.8200002,85,19,Other,Male
281,2djqabpr,PC08,9.6000004,Session 09,Birmingham,1,Baseline,6,5,public,6,0,0,4,public,0,0,0,0,120,0,2,955,600,0,0,0,0,0,26,20,0.25,0.5,0.25,0.25,30,2,220,7.8200002,85,19,Other,Male
282,2djqabpr,PC08,9.6000004,Session 09,Birmingham,1,Baseline,3,6,employee,6,0,0,2,firm,12,24,240,0,180,0,2,955,600,0,0,0,0,0,26,20,0.25,0.5,0.25,0.25,30,2,220,7.8200002,85,19,Other,Male
283,2djqabpr,PC08,9.6000004,Session 09,Birmingham,1,Baseline,6,7,public,6,0,0,4,public,0,0,0,0,120,0,2,955,600,0,0,0,0,0,26,20,0.25,0.5,0.25,0.25,30,2,220,7.8200002,85,19,Other,Male
284,2djqabpr,PC08,9.6000004,Session 09,Birmingham,1,Baseline,3,8,employee,6,0,0,3,firm,12,24,240,0,180,0,2,955,600,0,0,0,0,0,26,20,0.25,0.5,0.25,0.25,30,2,220,7.8200002,85,19,Other,Male
285,2djqabpr,PC08,9.6000004,Session 09,Birmingham,1,Baseline,6,9,public,6,0,0,4,public,0,0,0,0,120,0,2,955,600,0,0,0,0,0,26,20,0.25,0.5,0.25,0.25,30,2,220,7.8200002,85,19,Other,Male
286,2djqabpr,PC08,9.6000004,Session 09,Birmingham,1,Baseline,3,10,employee,6,0,0,1,firm,12,24,240,0,180,0,2,955,600,0,0,0,0,0,26,20,0.25,0.5,0.25,0.25,30,2,220,7.8200002,85,19,Other,Male
287,2djqabpr,PC08,9.6000004,Session 09,Birmingham,1,Baseline,6,11,public,6,0,0,4,public,0,0,0,0,120,0,2,955,600,0,0,0,0,0,26,20,0.25,0.5,0.25,0.25,30,2,220,7.8200002,85,19,Other,Male
288,2djqabpr,PC08,9.6000004,Session 09,Birmingham,1,Baseline,3,12,employee,6,0,0,2,firm,12,24,240,0,180,0,2,955,600,0,0,0,0,0,26,20,0.25,0.5,0.25,0.25,30,2,220,7.8200002,85,19,Other,Male
373,2nkn210d,PC09,8.8999996,Session 09,Birmingham,1,Baseline,3,1,employee,6,0,1,3,firm,12,24,240,0,180,0,1,885,600,0.25,0.375,0,0.75,0.72727275,26,0,0,0.5,0,0.5,20,1,180,45,85,22,Other,Male
374,2nkn210d,PC09,8.8999996,Session 09,Birmingham,1,Baseline,6,2,public,6,0,0,4,public,0,0,0,0,120,0,1,885,600,0.25,0.375,0,0.75,0.72727275,26,0,0,0.5,0,0.5,20,1,180,45,85,22,Other,Male
375,2nkn210d,PC09,8.8999996,Session 09,Birmingham,1,Baseline,3,3,employee,6,0,1,1,firm,12,24,240,0,180,0,4,885,600,0.25,0.375,0,0.75,0.72727275,26,0,0,0.5,0,0.5,20,1,180,45,85,22,Other,Male
376,2nkn210d,PC09,8.8999996,Session 09,Birmingham,1,Baseline,6,4,public,6,0,0,4,public,0,0,0,0,120,0,4,885,600,0.25,0.375,0,0.75,0.72727275,26,0,0,0.5,0,0.5,20,1,180,45,85,22,Other,Male
377,2nkn210d,PC09,8.8999996,Session 09,Birmingham,1,Baseline,3,5,employee,6,0,1,2,firm,12,24,240,0,180,0,2,885,600,0.25,0.375,0,0.75,0.72727275,26,0,0,0.5,0,0.5,20,1,180,45,85,22,Other,Male
378,2nkn210d,PC09,8.8999996,Session 09,Birmingham,1,Baseline,6,6,public,6,0,0,4,public,0,0,0,0,120,0,2,885,600,0.25,0.375,0,0.75,0.72727275,26,0,0,0.5,0,0.5,20,1,180,45,85,22,Other,Male
